Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Hybrid_QNN,digits,6,4,1,200,0.6964,0.6964,0.7639,0.7639,0.05,0.05
Hybrid_QNN,digits,6,4,2,200,0.5903,0.5903,0.9167,0.9167,0.05,0.10
Hybrid_QNN,digits,6,4,3,200,0.5367,0.5367,0.9306,0.9306,0.05,0.15
Hybrid_QNN,digits,6,4,4,200,0.4955,0.4955,0.9444,0.9444,0.05,0.20
Hybrid_QNN,digits,6,4,5,200,0.4600,0.4600,0.9583,0.9583,0.05,0.25
Hybrid_QNN,digits,6,4,6,200,0.4285,0.4285,0.9722,0.9722,0.05,0.30
Hybrid_QNN,digits,6,4,7,200,0.3999,0.3999,0.9722,0.9722,0.06,0.36
Hybrid_QNN,digits,6,4,8,200,0.3733,0.3733,0.9722,0.9722,0.05,0.41
Hybrid_QNN,digits,6,4,9,200,0.3486,0.3486,0.9722,0.9722,0.06,0.47
Hybrid_QNN,digits,6,4,10,200,0.3253,0.3253,0.9861,0.9861,0.05,0.52
Hybrid_QNN,digits,6,4,11,200,0.3032,0.3032,0.9861,0.9861,0.06,0.58
Hybrid_QNN,digits,6,4,12,200,0.2824,0.2824,1.0000,1.0000,0.05,0.64
Hybrid_QNN,digits,6,4,13,200,0.2628,0.2628,1.0000,1.0000,0.06,0.69
Hybrid_QNN,digits,6,4,14,200,0.2447,0.2447,1.0000,1.0000,0.05,0.75
Hybrid_QNN,digits,6,4,15,200,0.2279,0.2279,1.0000,1.0000,0.05,0.80
Hybrid_QNN,digits,6,4,16,200,0.2123,0.2123,1.0000,1.0000,0.06,0.86
Hybrid_QNN,digits,6,4,17,200,0.1978,0.1978,1.0000,1.0000,0.05,0.91
Hybrid_QNN,digits,6,4,18,200,0.1843,0.1843,1.0000,1.0000,0.05,0.96
Hybrid_QNN,digits,6,4,19,200,0.1716,0.1716,1.0000,1.0000,0.05,1.01
Hybrid_QNN,digits,6,4,20,200,0.1597,0.1597,1.0000,1.0000,0.05,1.06
Hybrid_QNN,digits,6,4,21,200,0.1485,0.1485,1.0000,1.0000,0.05,1.11
Hybrid_QNN,digits,6,4,22,200,0.1380,0.1380,1.0000,1.0000,0.06,1.16
Hybrid_QNN,digits,6,4,23,200,0.1283,0.1283,1.0000,1.0000,0.06,1.22
Hybrid_QNN,digits,6,4,24,200,0.1192,0.1192,1.0000,1.0000,0.07,1.28
Hybrid_QNN,digits,6,4,25,200,0.1107,0.1107,1.0000,1.0000,0.08,1.36
Hybrid_QNN,digits,6,4,26,200,0.1029,0.1029,1.0000,1.0000,0.05,1.42
Hybrid_QNN,digits,6,4,27,200,0.0956,0.0956,1.0000,1.0000,0.05,1.47
Hybrid_QNN,digits,6,4,28,200,0.0889,0.0889,1.0000,1.0000,0.05,1.52
Hybrid_QNN,digits,6,4,29,200,0.0826,0.0826,1.0000,1.0000,0.06,1.58
Hybrid_QNN,digits,6,4,30,200,0.0768,0.0768,1.0000,1.0000,0.05,1.63
Hybrid_QNN,digits,6,4,31,200,0.0715,0.0715,1.0000,1.0000,0.06,1.69
Hybrid_QNN,digits,6,4,32,200,0.0666,0.0666,1.0000,1.0000,0.05,1.74
Hybrid_QNN,digits,6,4,33,200,0.0621,0.0621,1.0000,1.0000,0.05,1.79
Hybrid_QNN,digits,6,4,34,200,0.0579,0.0579,1.0000,1.0000,0.05,1.85
Hybrid_QNN,digits,6,4,35,200,0.0540,0.0540,1.0000,1.0000,0.05,1.90
Hybrid_QNN,digits,6,4,36,200,0.0505,0.0505,1.0000,1.0000,0.05,1.95
Hybrid_QNN,digits,6,4,37,200,0.0472,0.0472,1.0000,1.0000,0.05,2.00
Hybrid_QNN,digits,6,4,38,200,0.0442,0.0442,1.0000,1.0000,0.05,2.04
Hybrid_QNN,digits,6,4,39,200,0.0414,0.0414,1.0000,1.0000,0.06,2.10
Hybrid_QNN,digits,6,4,40,200,0.0389,0.0389,1.0000,1.0000,0.06,2.16
Hybrid_QNN,digits,6,4,41,200,0.0366,0.0366,1.0000,1.0000,0.05,2.21
Hybrid_QNN,digits,6,4,42,200,0.0344,0.0344,1.0000,1.0000,0.06,2.27
Hybrid_QNN,digits,6,4,43,200,0.0325,0.0325,1.0000,1.0000,0.05,2.33
Hybrid_QNN,digits,6,4,44,200,0.0306,0.0306,1.0000,1.0000,0.05,2.38
Hybrid_QNN,digits,6,4,45,200,0.0290,0.0290,1.0000,1.0000,0.05,2.43
Hybrid_QNN,digits,6,4,46,200,0.0274,0.0274,1.0000,1.0000,0.05,2.49
Hybrid_QNN,digits,6,4,47,200,0.0260,0.0260,1.0000,1.0000,0.05,2.54
Hybrid_QNN,digits,6,4,48,200,0.0247,0.0247,1.0000,1.0000,0.06,2.60
Hybrid_QNN,digits,6,4,49,200,0.0235,0.0235,1.0000,1.0000,0.06,2.65
Hybrid_QNN,digits,6,4,50,200,0.0224,0.0224,1.0000,1.0000,0.06,2.71
Hybrid_QNN,digits,6,4,51,200,0.0213,0.0213,1.0000,1.0000,0.06,2.77
Hybrid_QNN,digits,6,4,52,200,0.0203,0.0203,1.0000,1.0000,0.05,2.82
Hybrid_QNN,digits,6,4,53,200,0.0194,0.0194,1.0000,1.0000,0.06,2.88
Hybrid_QNN,digits,6,4,54,200,0.0186,0.0186,1.0000,1.0000,0.05,2.93
Hybrid_QNN,digits,6,4,55,200,0.0178,0.0178,1.0000,1.0000,0.06,2.99
Hybrid_QNN,digits,6,4,56,200,0.0171,0.0171,1.0000,1.0000,0.05,3.04
Hybrid_QNN,digits,6,4,57,200,0.0164,0.0164,1.0000,1.0000,0.05,3.09
Hybrid_QNN,digits,6,4,58,200,0.0158,0.0158,1.0000,1.0000,0.06,3.15
Hybrid_QNN,digits,6,4,59,200,0.0152,0.0152,1.0000,1.0000,0.05,3.20
Hybrid_QNN,digits,6,4,60,200,0.0146,0.0146,1.0000,1.0000,0.06,3.26
Hybrid_QNN,digits,6,4,61,200,0.0141,0.0141,1.0000,1.0000,0.06,3.32
Hybrid_QNN,digits,6,4,62,200,0.0136,0.0136,1.0000,1.0000,0.06,3.38
Hybrid_QNN,digits,6,4,63,200,0.0131,0.0131,1.0000,1.0000,0.06,3.44
Hybrid_QNN,digits,6,4,64,200,0.0127,0.0127,1.0000,1.0000,0.05,3.49
Hybrid_QNN,digits,6,4,65,200,0.0123,0.0123,1.0000,1.0000,0.06,3.55
Hybrid_QNN,digits,6,4,66,200,0.0119,0.0119,1.0000,1.0000,0.05,3.59
Hybrid_QNN,digits,6,4,67,200,0.0115,0.0115,1.0000,1.0000,0.05,3.65
Hybrid_QNN,digits,6,4,68,200,0.0112,0.0112,1.0000,1.0000,0.06,3.71
Hybrid_QNN,digits,6,4,69,200,0.0108,0.0108,1.0000,1.0000,0.06,3.77
Hybrid_QNN,digits,6,4,70,200,0.0105,0.0105,1.0000,1.0000,0.05,3.82
Hybrid_QNN,digits,6,4,71,200,0.0102,0.0102,1.0000,1.0000,0.06,3.87
Hybrid_QNN,digits,6,4,72,200,0.0100,0.0100,1.0000,1.0000,0.05,3.92
Hybrid_QNN,digits,6,4,73,200,0.0097,0.0097,1.0000,1.0000,0.06,3.98
Hybrid_QNN,digits,6,4,74,200,0.0094,0.0094,1.0000,1.0000,0.05,4.03
Hybrid_QNN,digits,6,4,75,200,0.0092,0.0092,1.0000,1.0000,0.05,4.08
Hybrid_QNN,digits,6,4,76,200,0.0090,0.0090,1.0000,1.0000,0.05,4.14
Hybrid_QNN,digits,6,4,77,200,0.0087,0.0087,1.0000,1.0000,0.05,4.19
Hybrid_QNN,digits,6,4,78,200,0.0085,0.0085,1.0000,1.0000,0.05,4.23
Hybrid_QNN,digits,6,4,79,200,0.0083,0.0083,1.0000,1.0000,0.05,4.29
Hybrid_QNN,digits,6,4,80,200,0.0081,0.0081,1.0000,1.0000,0.05,4.34
Hybrid_QNN,digits,6,4,81,200,0.0079,0.0079,1.0000,1.0000,0.05,4.39
Hybrid_QNN,digits,6,4,82,200,0.0078,0.0078,1.0000,1.0000,0.05,4.44
Hybrid_QNN,digits,6,4,83,200,0.0076,0.0076,1.0000,1.0000,0.06,4.49
Hybrid_QNN,digits,6,4,84,200,0.0074,0.0074,1.0000,1.0000,0.05,4.54
Hybrid_QNN,digits,6,4,85,200,0.0073,0.0073,1.0000,1.0000,0.05,4.59
Hybrid_QNN,digits,6,4,86,200,0.0071,0.0071,1.0000,1.0000,0.05,4.64
Hybrid_QNN,digits,6,4,87,200,0.0070,0.0070,1.0000,1.0000,0.05,4.69
Hybrid_QNN,digits,6,4,88,200,0.0068,0.0068,1.0000,1.0000,0.05,4.74
Hybrid_QNN,digits,6,4,89,200,0.0067,0.0067,1.0000,1.0000,0.05,4.79
Hybrid_QNN,digits,6,4,90,200,0.0066,0.0066,1.0000,1.0000,0.05,4.84
Hybrid_QNN,digits,6,4,91,200,0.0064,0.0064,1.0000,1.0000,0.05,4.89
Hybrid_QNN,digits,6,4,92,200,0.0063,0.0063,1.0000,1.0000,0.05,4.94
Hybrid_QNN,digits,6,4,93,200,0.0062,0.0062,1.0000,1.0000,0.05,4.99
Hybrid_QNN,digits,6,4,94,200,0.0061,0.0061,1.0000,1.0000,0.05,5.05
Hybrid_QNN,digits,6,4,95,200,0.0060,0.0060,1.0000,1.0000,0.05,5.10
Hybrid_QNN,digits,6,4,96,200,0.0059,0.0059,1.0000,1.0000,0.05,5.15
Hybrid_QNN,digits,6,4,97,200,0.0058,0.0058,1.0000,1.0000,0.05,5.20
Hybrid_QNN,digits,6,4,98,200,0.0057,0.0057,1.0000,1.0000,0.06,5.25
Hybrid_QNN,digits,6,4,99,200,0.0056,0.0056,1.0000,1.0000,0.05,5.30
Hybrid_QNN,digits,6,4,100,200,0.0055,0.0055,1.0000,1.0000,0.06,5.36
Hybrid_QNN,digits,6,4,101,200,0.0054,0.0054,1.0000,1.0000,0.06,5.42
Hybrid_QNN,digits,6,4,102,200,0.0053,0.0053,1.0000,1.0000,0.05,5.48
Hybrid_QNN,digits,6,4,103,200,0.0052,0.0052,1.0000,1.0000,0.05,5.53
Hybrid_QNN,digits,6,4,104,200,0.0051,0.0051,1.0000,1.0000,0.06,5.59
Hybrid_QNN,digits,6,4,105,200,0.0050,0.0050,1.0000,1.0000,0.06,5.64
Hybrid_QNN,digits,6,4,106,200,0.0049,0.0049,1.0000,1.0000,0.05,5.69
Hybrid_QNN,digits,6,4,107,200,0.0049,0.0049,1.0000,1.0000,0.06,5.75
Hybrid_QNN,digits,6,4,108,200,0.0048,0.0048,1.0000,1.0000,0.06,5.81
Hybrid_QNN,digits,6,4,109,200,0.0047,0.0047,1.0000,1.0000,0.06,5.87
Hybrid_QNN,digits,6,4,110,200,0.0046,0.0046,1.0000,1.0000,0.05,5.92
Hybrid_QNN,digits,6,4,111,200,0.0046,0.0046,1.0000,1.0000,0.05,5.97
Hybrid_QNN,digits,6,4,112,200,0.0045,0.0045,1.0000,1.0000,0.05,6.03
Hybrid_QNN,digits,6,4,113,200,0.0044,0.0044,1.0000,1.0000,0.06,6.08
Hybrid_QNN,digits,6,4,114,200,0.0044,0.0044,1.0000,1.0000,0.05,6.13
Hybrid_QNN,digits,6,4,115,200,0.0043,0.0043,1.0000,1.0000,0.05,6.19
Hybrid_QNN,digits,6,4,116,200,0.0042,0.0042,1.0000,1.0000,0.05,6.24
Hybrid_QNN,digits,6,4,117,200,0.0042,0.0042,1.0000,1.0000,0.05,6.29
Hybrid_QNN,digits,6,4,118,200,0.0041,0.0041,1.0000,1.0000,0.05,6.34
Hybrid_QNN,digits,6,4,119,200,0.0041,0.0041,1.0000,1.0000,0.05,6.40
Hybrid_QNN,digits,6,4,120,200,0.0040,0.0040,1.0000,1.0000,0.05,6.45
Hybrid_QNN,digits,6,4,121,200,0.0039,0.0039,1.0000,1.0000,0.05,6.50
Hybrid_QNN,digits,6,4,122,200,0.0039,0.0039,1.0000,1.0000,0.05,6.56
Hybrid_QNN,digits,6,4,123,200,0.0038,0.0038,1.0000,1.0000,0.06,6.61
Hybrid_QNN,digits,6,4,124,200,0.0038,0.0038,1.0000,1.0000,0.05,6.66
Hybrid_QNN,digits,6,4,125,200,0.0037,0.0037,1.0000,1.0000,0.05,6.72
Hybrid_QNN,digits,6,4,126,200,0.0037,0.0037,1.0000,1.0000,0.06,6.78
Hybrid_QNN,digits,6,4,127,200,0.0036,0.0036,1.0000,1.0000,0.06,6.84
Hybrid_QNN,digits,6,4,128,200,0.0036,0.0036,1.0000,1.0000,0.05,6.89
Hybrid_QNN,digits,6,4,129,200,0.0035,0.0035,1.0000,1.0000,0.05,6.95
Hybrid_QNN,digits,6,4,130,200,0.0035,0.0035,1.0000,1.0000,0.05,7.00
Hybrid_QNN,digits,6,4,131,200,0.0034,0.0034,1.0000,1.0000,0.05,7.05
Hybrid_QNN,digits,6,4,132,200,0.0034,0.0034,1.0000,1.0000,0.05,7.10
Hybrid_QNN,digits,6,4,133,200,0.0034,0.0034,1.0000,1.0000,0.05,7.16
Hybrid_QNN,digits,6,4,134,200,0.0033,0.0033,1.0000,1.0000,0.05,7.21
Hybrid_QNN,digits,6,4,135,200,0.0033,0.0033,1.0000,1.0000,0.06,7.26
Hybrid_QNN,digits,6,4,136,200,0.0032,0.0032,1.0000,1.0000,0.05,7.32
Hybrid_QNN,digits,6,4,137,200,0.0032,0.0032,1.0000,1.0000,0.04,7.36
Hybrid_QNN,digits,6,4,138,200,0.0031,0.0031,1.0000,1.0000,0.05,7.41
Hybrid_QNN,digits,6,4,139,200,0.0031,0.0031,1.0000,1.0000,0.05,7.46
Hybrid_QNN,digits,6,4,140,200,0.0031,0.0031,1.0000,1.0000,0.05,7.52
Hybrid_QNN,digits,6,4,141,200,0.0030,0.0030,1.0000,1.0000,0.05,7.57
Hybrid_QNN,digits,6,4,142,200,0.0030,0.0030,1.0000,1.0000,0.05,7.63
Hybrid_QNN,digits,6,4,143,200,0.0030,0.0030,1.0000,1.0000,0.06,7.68
Hybrid_QNN,digits,6,4,144,200,0.0029,0.0029,1.0000,1.0000,0.05,7.73
Hybrid_QNN,digits,6,4,145,200,0.0029,0.0029,1.0000,1.0000,0.05,7.79
Hybrid_QNN,digits,6,4,146,200,0.0029,0.0029,1.0000,1.0000,0.05,7.84
Hybrid_QNN,digits,6,4,147,200,0.0028,0.0028,1.0000,1.0000,0.05,7.89
Hybrid_QNN,digits,6,4,148,200,0.0028,0.0028,1.0000,1.0000,0.05,7.94
Hybrid_QNN,digits,6,4,149,200,0.0028,0.0028,1.0000,1.0000,0.05,7.99
Hybrid_QNN,digits,6,4,150,200,0.0027,0.0027,1.0000,1.0000,0.05,8.04
Hybrid_QNN,digits,6,4,151,200,0.0027,0.0027,1.0000,1.0000,0.05,8.09
Hybrid_QNN,digits,6,4,152,200,0.0027,0.0027,1.0000,1.0000,0.05,8.14
Hybrid_QNN,digits,6,4,153,200,0.0026,0.0026,1.0000,1.0000,0.06,8.20
Hybrid_QNN,digits,6,4,154,200,0.0026,0.0026,1.0000,1.0000,0.06,8.26
Hybrid_QNN,digits,6,4,155,200,0.0026,0.0026,1.0000,1.0000,0.06,8.32
Hybrid_QNN,digits,6,4,156,200,0.0025,0.0025,1.0000,1.0000,0.06,8.37
Hybrid_QNN,digits,6,4,157,200,0.0025,0.0025,1.0000,1.0000,0.05,8.42
Hybrid_QNN,digits,6,4,158,200,0.0025,0.0025,1.0000,1.0000,0.05,8.48
Hybrid_QNN,digits,6,4,159,200,0.0025,0.0025,1.0000,1.0000,0.05,8.53
Hybrid_QNN,digits,6,4,160,200,0.0024,0.0024,1.0000,1.0000,0.05,8.58
Hybrid_QNN,digits,6,4,161,200,0.0024,0.0024,1.0000,1.0000,0.06,8.64
Hybrid_QNN,digits,6,4,162,200,0.0024,0.0024,1.0000,1.0000,0.06,8.70
Hybrid_QNN,digits,6,4,163,200,0.0024,0.0024,1.0000,1.0000,0.05,8.75
Hybrid_QNN,digits,6,4,164,200,0.0023,0.0023,1.0000,1.0000,0.05,8.80
Hybrid_QNN,digits,6,4,165,200,0.0023,0.0023,1.0000,1.0000,0.05,8.86
Hybrid_QNN,digits,6,4,166,200,0.0023,0.0023,1.0000,1.0000,0.05,8.91
Hybrid_QNN,digits,6,4,167,200,0.0023,0.0023,1.0000,1.0000,0.05,8.96
Hybrid_QNN,digits,6,4,168,200,0.0022,0.0022,1.0000,1.0000,0.05,9.01
Hybrid_QNN,digits,6,4,169,200,0.0022,0.0022,1.0000,1.0000,0.06,9.07
Hybrid_QNN,digits,6,4,170,200,0.0022,0.0022,1.0000,1.0000,0.05,9.11
Hybrid_QNN,digits,6,4,171,200,0.0022,0.0022,1.0000,1.0000,0.06,9.17
Hybrid_QNN,digits,6,4,172,200,0.0021,0.0021,1.0000,1.0000,0.05,9.22
Hybrid_QNN,digits,6,4,173,200,0.0021,0.0021,1.0000,1.0000,0.06,9.28
Hybrid_QNN,digits,6,4,174,200,0.0021,0.0021,1.0000,1.0000,0.06,9.34
Hybrid_QNN,digits,6,4,175,200,0.0021,0.0021,1.0000,1.0000,0.06,9.39
Hybrid_QNN,digits,6,4,176,200,0.0021,0.0021,1.0000,1.0000,0.06,9.45
Hybrid_QNN,digits,6,4,177,200,0.0020,0.0020,1.0000,1.0000,0.06,9.51
Hybrid_QNN,digits,6,4,178,200,0.0020,0.0020,1.0000,1.0000,0.06,9.56
Hybrid_QNN,digits,6,4,179,200,0.0020,0.0020,1.0000,1.0000,0.07,9.64
Hybrid_QNN,digits,6,4,180,200,0.0020,0.0020,1.0000,1.0000,0.05,9.69
Hybrid_QNN,digits,6,4,181,200,0.0020,0.0020,1.0000,1.0000,0.06,9.75
Hybrid_QNN,digits,6,4,182,200,0.0020,0.0020,1.0000,1.0000,0.05,9.80
Hybrid_QNN,digits,6,4,183,200,0.0019,0.0019,1.0000,1.0000,0.06,9.85
Hybrid_QNN,digits,6,4,184,200,0.0019,0.0019,1.0000,1.0000,0.06,9.91
Hybrid_QNN,digits,6,4,185,200,0.0019,0.0019,1.0000,1.0000,0.06,9.97
Hybrid_QNN,digits,6,4,186,200,0.0019,0.0019,1.0000,1.0000,0.05,10.02
Hybrid_QNN,digits,6,4,187,200,0.0019,0.0019,1.0000,1.0000,0.05,10.07
Hybrid_QNN,digits,6,4,188,200,0.0018,0.0018,1.0000,1.0000,0.05,10.12
Hybrid_QNN,digits,6,4,189,200,0.0018,0.0018,1.0000,1.0000,0.05,10.17
Hybrid_QNN,digits,6,4,190,200,0.0018,0.0018,1.0000,1.0000,0.05,10.22
Hybrid_QNN,digits,6,4,191,200,0.0018,0.0018,1.0000,1.0000,0.05,10.28
Hybrid_QNN,digits,6,4,192,200,0.0018,0.0018,1.0000,1.0000,0.05,10.33
Hybrid_QNN,digits,6,4,193,200,0.0018,0.0018,1.0000,1.0000,0.05,10.38
Hybrid_QNN,digits,6,4,194,200,0.0017,0.0017,1.0000,1.0000,0.06,10.44
Hybrid_QNN,digits,6,4,195,200,0.0017,0.0017,1.0000,1.0000,0.06,10.50
Hybrid_QNN,digits,6,4,196,200,0.0017,0.0017,1.0000,1.0000,0.05,10.55
Hybrid_QNN,digits,6,4,197,200,0.0017,0.0017,1.0000,1.0000,0.05,10.60
Hybrid_QNN,digits,6,4,198,200,0.0017,0.0017,1.0000,1.0000,0.05,10.65
Hybrid_QNN,digits,6,4,199,200,0.0017,0.0017,1.0000,1.0000,0.05,10.70
Hybrid_QNN,digits,6,4,200,200,0.0017,0.0017,1.0000,1.0000,0.05,10.75
=================================================================================
